ID,English,Bodo,Mizo,Category
1740,printer,प्रिंटर,printer,Translation
1741,scanner,स्कैनर,scanner,Translation
1742,USB,यूएसबी,USB,Translation
1743,file,फाइल,file,Translation
1744,folder,फोल्डर,folder,Translation
1745,document,दस्तावेज़,document,Translation
1746,open file,फाइल खोलो,file hawng rawh,Translation
1747,password,पासवर्ड,password,Translation
1748,username,उपयोगकर्ता नाम,username,Translation
1749,settings,सेटिंग्स,settings,Translation
1750,app,ऐप,app,Translation
1751,can,खांनो,thei,Translation
1752,could,खांनो होयो,thei ang,Translation
1753,will,गोनां,ang,Translation
1754,would,गोनांथि,ang,Translation
1755,shall,गोनांथि,tur,Translation
1756,should,गोनांथि,tur,Translation
1757,may,खांनो,thei,Translation
1758,might,खांनो बाहाय,thei ang,Translation
1759,must,गोनांथि,ngei tur,Translation
1760,am,आं दङ,ka ni,Translation
1761,is,आरो,a ni,Translation
1762,are,आरो,an ni,Translation
1763,was,होनो,a ni ta,Translation
1764,were,होनो,an ni ta,Translation
1765,being,होयायनाय,ni mek,Translation
1766,been,होयो,ni ta,Translation
1767,has,आरो,a nei,Translation
1768,had,होनो आरो,a nei ta,Translation
1769,having,आरोनाय,nei mek,Translation
1770,does,थां,a tih,Translation
1771,did,होनो थां,a tih ta,Translation
1772,doing,थां दङ,tih mek,Translation
1773,and,आरो,leh,Translation
1774,or,बा,emaw,Translation
1775,but,दिनाय,mahse,Translation
1776,because,थांखो,chuvang,Translation
1777,so,थांखो,chuvang,Translation
1778,although,होयो दिनाय,mahse,Translation
1779,while,बेलाथाव,hun lai,Translation
1780,if,बा,chu chu,Translation
1781,unless,नाङा होयो,aih lo chu chu,Translation
1782,because of,कारण से,chuvang,Translation
1783,in order to,ताकि,chuvang,Translation
1784,as if,जैसे,ngai thla,Translation
1785,as long as,जब तक,hun lai,Translation
1786,as soon as,जैसे ही,chu chu,Translation
1787,even if,भले ही,chu chu dey,Translation
1788,however,हालांकि,mahse,Translation
1789,therefore,इसलिए,chuvang,Translation
1790,thus,इस प्रकार,chuvang,Translation
1791,besides,इसके अलावा,a thui le,Translation
1792,moreover,इसके अलावा,a thui le,Translation
1793,when,मावनो,engtin,Translation
1794,why,माबाव,engvangin,Translation
1795,how,जोबोन,engtin,Translation
1796,how many,जोबोन नम्बर,engzat,Translation
1797,how much,जोबोन सान,engzat,Translation
1798,more,अधिक,nasa,Translation
1799,less,कम,hlem,Translation
1800,many,बहुत,nasa,Translation
1801,few,कम,hlem,Translation
1802,all,सब,zawng zawng,Translation
1803,some,कुछ,emaw,Translation
1804,none,कोई नहीं,aih,Translation
1805,every,हर,kumsa kumsa,Translation
1806,each,प्रत्येक,kumsa kumsa,Translation
1807,both,दोनों,pahnih,Translation
1808,either,कोई भी,emaw,Translation
1809,neither,न तो,aih loah,Translation
1810,other,अन्य,dang,Translation
1811,another,और,dang,Translation
1812,yes,अं,awle,Translation
1813,no,नङा,aih,Translation
1814,ok,ठीक,ok,Translation
1815,agreed,सहमत,ok ta,Translation
1816,disagree,असहमत,dik lo,Translation
1817,बे,the,chu,Translation
1818,सै,a,pakhat,Translation
1819,सै,an,pakhat,Translation
1820,आव,in,chungah,Translation
1821,आव गुबुन,on,chunga,Translation
1822,आव,at,ah,Translation
1823,आव,to,ah,Translation
1824,नि,of,ta,Translation
1825,नायनो,from,atanga,Translation
1826,लानो,with,nen,Translation
1827,बानाय,without,telin,Translation
1828,जों,by,hmangin,Translation
1829,आव गोजौथिनो,into,chung ah,Translation
1830,मुंथाय,over,a chung,Translation
1831,सोहाय,out,chhuak,Translation
1832,मुंथाय,up,sang,Translation
1833,नामथाय,down,hniam,Translation
1834,मा,about,eng,Translation
1835,दो आव गुबुनथाव,between,inkarah,Translation
1836,गुबुनसोनो,among,khaw chunga,Translation
1837,आगाथाव,before,hmain,Translation
1838,उनाव,after,hnua,Translation
1839,गुबुनथाय,around,pawnah,Translation
1840,बोहाय,outside,kawl tuiloh,Translation
1841,आव गोजौथिनो,inside,chung ah,Translation
1842,मुंथाय,above,a chung,Translation
1843,नामथाय,below,hniam,Translation
1844,गुबुनथाव,near,inkarah,Translation
1845,गुर मायनो,far,thang,Translation
1846,दिनाय,left,chhuk,Translation
1847,गोजौ,right,dik,Translation
1848,बिसार,center,taksa,Translation
1849,आं,I,kei,Translation
1850,नं,you,nang,Translation
1851,बि,he,ama,Translation
1852,बि,she,ani,Translation
1853,बे,it,chu,Translation
1854,बे,we,kan,Translation
1855,बिफां,they,anni,Translation
1856,आंनि,me,kei,Translation
1857,बि,him,ama,Translation
1858,बिनि,her,a,Translation
1859,बेनि,us,kan,Translation
1860,बिफांनि,them,anni,Translation
1861,आंनि,my,ka,Translation
1862,नंनि,your,i,Translation
1863,बिनि,his,a,Translation
1864,बेनि,its,a,Translation
1865,बेनि,our,kan,Translation
1866,बिफांनि,their,an,Translation
1867,सोर,who,tu,Translation
1868,मा,what,eng,Translation
1869,मो,which,eng nge,Translation
1870,सोरनि,whose,tu ta,Translation
1871,होयो,be,ni,Translation
1872,आरो,have,nei,Translation
1873,थां,do,tih,Translation
1874,होयो,go,kal,Translation
1875,लाबो,come,lo,Translation
1876,फार,say,sawi,Translation
1877,सिर्गुन,make,siam,Translation
1878,मुंनो,get,lo,Translation
1879,दों,give,pe rawh,Translation
1880,खाय,take,lo la,Translation
1881,नायदोन,see,hmu,Translation
1882,मोजान,know,hrethiam,Translation
1883,मोनो होयो,think,thiam,Translation
1884,गोनांथि,want,duh,Translation
1885,बाहाय,use,hman,Translation
1886,खोजो,find,hmuh rawh,Translation
1887,गोब थ,work,thawk,Translation
1888,कॉल,call,call,Translation
1889,नायदोनाय,try,bei,Translation
1890,छुट्टी,leave,dah,Translation
1891,राखा,put,siam,Translation
1892,मानथाय दङ,mean,awmzia,Translation
1893,राखा,keep,dah,Translation
1894,हायो,let,thei,Translation
1895,होनना,begin,tan,Translation
1896,मदद थ,help,tihdam rawh,Translation
1897,फोथाय,talk,sawi,Translation
1898,गोनांथि,need,mamawh,Translation
1899,मोनो दङ,feel,lung,Translation
1900,नायदोन दङ,seem,ngaithla,Translation
1901,पाठ,read,chhiar,Translation
1902,लिर,write,ziak,Translation
1903,नुं,listen,ngai,Translation
1904,फोथाय,speak,thusawi,Translation
1905,होनना,learn,zir,Translation
1906,होनना,study,zir,Translation
1907,उखार,teach,zirtir hman,Translation
1908,खुला,open,hawng,Translation
1909,बोन,close,khum rawh,Translation
1910,फुं,sit,thu,Translation
1911,दिंना,stand,ding,Translation
1912,जाबाय,walk,kal,Translation
1913,रेबगोन,run,tlan,Translation
1914,फार,jump,zuang,Translation
1915,थोन,raise,kalh rawh,Translation
1916,नामथिनो,lower,hniam rawh,Translation
1917,गोरसिन,draw,draw,Translation
1918,गणना करो,calculate,chhut rawh,Translation
1919,हल करो,solve,chinfel rawh,Translation
1920,समझाओ,explain,sawifiah rawh,Translation
1921,वर्णन करो,describe,hriazaih rawh,Translation
1922,तुलना करो,compare,zirtlai rawh,Translation
1923,सायगोन,check,enfin rawh,Translation
1924,अनुवाद थ,translate,translate rawh,Translation
1925,स्पेलिंग थ,spell,spell rawh,Translation
1926,उच्चार थ,pronounce,sawi dik rawh,Translation
1927,चिन्ह थ,highlight,sign rawh,Translation
1928,रेखा खींचना,underline,line rawh,Translation
1929,गोल,circle,thiangvawl,Translation
1930,निशान लगाना,tick,sign rawh,Translation
1931,खींचना,cross,kawng rawh,Translation
1932,निशान लगाना,mark,sign rawh,Translation
1933,सुपुर्द करना,submit,pe rawh,Translation
1934,आगे बढना,lead,hmun hnuai rawh,Translation
1935,पीछे चलना,follow,hnua a kal rawh,Translation
1936,साझा करो,share,sem rawh,Translation
1937,रुकना,stop,chhap rawh,Translation
1938,शुरू करना,start,tan rawh,Translation
1939,रुकना,pause,khap la rawh,Translation
1940,जारी रखना,continue,chhung zel rawh,Translation
1941,पूछना,ask,zawt rawh,Translation
1942,जवाब,answer,chhan,Translation
1943,ध्यान से सुनना,listen carefully,ngai thil takin,Translation
1944,ध्यान देना,pay attention,ngaithla rawh,Translation
1945,दोहराना,repeat,nawn rawh,Translation
1946,जोर से पढना,read aloud,chhiar rawh,Translation
1947,चुप पढना,silent reading,dâwiin chhiar rawh,Translation
1948,समूह में काम,group work,group thawk rawh,Translation
1949,जोड़ी में काम,pair work,paihra thawk rawh,Translation
1950,परियोजना काम,project work,project thawk rawh,Translation
1951,जाग जाना,wake up,tho rawh,Translation
1952,उठ जाना,get up,thawk rawh,Translation
1953,सोना,sleep,mut rawh,Translation
1954,पकाना,cook,chaw siam,Translation
1955,ऑर्डर,order,order,Translation
1956,खरीदना,buy,la,Translation
1957,बेचना,sell,thleng,Translation
1958,भुगतान,pay,sum pe,Translation
1959,डाउनलोड,download,download,Translation
1960,अपलोड,upload,upload,Translation
1961,सहेजो,save,dah rawh,Translation
1962,हटाओ,delete,tih dah rawh,Translation
1963,नकल करो,copy,copy siam rawh,Translation
1964,चिपकाओ,paste,paste siam rawh,Translation
1965,स्थापित,install,install,Translation
1966,लॉगिन,login,login,Translation
1967,लॉगआउट,logout,logout,Translation
1968,पंजीकरण,register,register,Translation
1969,समय सारणी,schedule,hun siam,Translation
1970,उपस्थित होना,attend,lo rawh,Translation
1971,आना,arrive,lo,Translation
1972,जाना,depart,kal,Translation
1973,ठहरना,stay,i,Translation
1974,दौरा,visit,en,Translation
1975,यात्रा,travel,kal lo,Translation
1976,गोजौ,good,tha,Translation
1977,गोरलाव,bad,tha lo,Translation
1978,गोडां,big,lian,Translation
1979,गिदिर,small,te,Translation
1980,गोनां आव,new,thar,Translation
1981,बुजुर्ग,old,ni tang,Translation
1982,फोरां,fast,chak,Translation
1983,लायो,slow,zawi,Translation
1984,सालां,easy,fiam,Translation
1985,नाङथाइ,difficult,huna,Translation
1986,गोलाव,hot,lum,Translation
1987,गान,cold,vawt,Translation
1988,गोलाव,warm,lum awl,Translation
1989,गान,cool,vawt awl,Translation
1990,जौगा,long,sei,Translation
1991,छोटा,short,tawi,Translation
1992,मुंथाइ,high,sang,Translation
1993,नामथाइ,low,hniam,Translation
1994,गोनां,happy,hlim,Translation
1995,दुःख,sad,ngai dam,Translation
1996,सुगु,clean,thianghlim,Translation
1997,मायरा,dirty,bo,Translation
1998,गुसुम,strong,chakawm,Translation
1999,बोसोर,weak,tawtchhuah,Translation
2000,मोनो,wrong,dik lo,Translation
2001,बे दिनाय नां,same,dik leiah,Translation
2002,बे दिनाय,different,se cia,Translation
2003,गोनां लै,important,pawimawh,Translation
2004,गोनांथि,necessary,ngai,Translation
2005,इच्छानुसार,optional,duh hmasa,Translation
2006,अनिवार्य,required,tur,Translation
2007,भद्र,polite,hlim,Translation
2008,अशिष्ट,rude,bo hlim,Translation
2009,सहायक,helpful,tihdam bik,Translation
2010,सहयोगी,cooperative,khat theuh,Translation
2011,जिम्मेदार,responsible,enkawl a tlaih,Translation
2012,समय पर,punctual,hun dik,Translation
2013,सच्चा,honest,an dik,Translation
2014,ऊंचा आवाज,loud,ko leng,Translation
2015,नरम,soft,hlim,Translation
2016,शांत,quiet,dâwiin,Translation
2017,शोरगुल,noisy,ko leng,Translation
2018,उज्ज्वल,bright,eng,Translation
2019,अंधकार,dark,dum,Translation
2020,भीगा,wet,tui kaih,Translation
2021,सूखा,dry,khup,Translation
2022,भरा,full,kumhel,Translation
2023,खाली,empty,awl ang,Translation
2024,भारी,heavy,rit,Translation
2025,हल्का,light,awlsam,Translation
2026,कठोर,hard,chi,Translation
2027,खुरदुरा,rough,sual,Translation
2028,चिकना,smooth,thianghlim,Translation
2029,तेज,sharp,chak,Translation
2030,मंद,dull,lo chak,Translation
2031,मीठा,sweet,mithei,Translation
2032,खट्टा,sour,chhe,Translation
2033,कड़वा,bitter,ka,Translation
2034,नमकीन,salty,chi,Translation
2035,तीखा,spicy,ka,Translation
2036,ताजा,fresh,thar,Translation
2037,सड़ा,rotten,thit,Translation
2038,युवा,young,tinah,Translation
2039,लंबा,tall,sang,Translation
2040,चौड़ा,wide,sang lei,Translation
2041,संकीर्ण,narrow,tawi lei,Translation
2042,बंद,closed,khum,Translation
2043,महंगा,expensive,sum leng,Translation
2044,सस्ता,cheap,sum nung,Translation
2045,बेहतरीन,excellent,tha tak,Translation
2046,अच्छा किया,well done,thawk tha,Translation
2047,अच्छा काम,good job,tha tak,Translation
2048,फिर कोशिश करो,try again,bei thawh ang,Translation
2049,सुधार,improve,tihchangtlun rawh,Translation
2050,ध्यान,focus,ngaithla,Translation
2051,ध्यान,attention,ngaithla,Translation
2052,लुबा,red,sen,Translation
2053,गुनाउ,blue,dum hring,Translation
2054,गिसिन,green,hring,Translation
2055,गोसै,yellow,eng,Translation
2056,खुंगा,black,dum,Translation
2057,फुथार,white,var,Translation
2058,नारेङ्गि रोङ,orange,orange,Translation
2059,गुलाफि,pink,pink,Translation
2060,दाम रोङ,brown,vawk,Translation
2061,बेगुनि,purple,sen dum,Translation
2062,सोहाय रोङ,gray,var dum,Translation
2063,सुनहरा,gold,senai,Translation
2064,चाँदी,silver,silfar,Translation
2065,रंग,color,sen,Translation
2066,चौकोर,square,square,Translation
2067,सामफोर,triangle,triangle,Translation
2068,आयत,rectangle,rectangle,Translation
2069,लाइन,line,line,Translation
2070,आकृति,shape,shape,Translation
2071,आकार,size,size,Translation
2072,वजन,weight,rit,Translation
2073,लंबाई,length,sei,Translation
2074,ऊंचाई,height,sang,Translation
2075,चौड़ाई,width,lei,Translation
2076,गहराई,depth,um,Translation
2077,क्षेत्रफल,area,hmun zat,Translation
2078,आयतन,volume,vol,Translation
2079,नम्बर,number,phal,Translation
2080,सै,one,khat,Translation
2081,नै,two,pahnih,Translation
2082,थाम,three,pathum,Translation
2083,ब्राय,four,pali,Translation
2084,बा,five,panga,Translation
2085,रो,six,ruk,Translation
2086,श्नि,seven,sarih,Translation
2087,जात,eight,riat,Translation
2088,स्कौ,nine,kua,Translation
2089,दस,ten,sawm,Translation
2090,कुइ,twenty,sawm pahnih,Translation
2091,तिनकुइ,thirty,sawm thum,Translation
2092,ब्राइकुइ,forty,sawm pali,Translation
2093,बायकुइ,fifty,sawm panga,Translation
2094,सै,hundred,za,Translation
2095,हजार,thousand,za nget,Translation
2096,दस लाख,million,million,Translation
2097,गिबि,first,hmasa,Translation
2098,सेकंड,second,second,Translation
2099,तीसरा,third,pathumna,Translation
2100,आगामी,next,hnua la,Translation
2101,पिछला,previous,hmain la,Translation
2102,स्कुल,school,school,Translation
2103,कखा,classroom,classroom,Translation
2104,परिसर,campus,campus,Translation
2105,उखार,teacher,zirtirtu,Translation
2106,सुबुं,student,zirlaite,Translation
2107,प्रधानाचार्य,principal,sorkar,Translation
2108,कोच,coach,coach,Translation
2109,गृहशिक्षक,tutor,tutor,Translation
2110,मार्गदर्शक,mentor,guide,Translation
2111,सहपाठी,classmate,classroom midang,Translation
2112,गिबिर,friend,thian,Translation
2113,किताब,book,lehkhabu,Translation
2114,कलम,pen,pen,Translation
2115,पेंसिल,pencil,pencil,Translation
2116,फोरमा,notebook,lehkhabu,Translation
2117,तेबुल,desk,tawltlang,Translation
2118,फुंसा,chair,tumbawh,Translation
2119,काली पट्टी,blackboard,board dum,Translation
2120,सफेद पट्टी,whiteboard,board var,Translation
2121,बोर्ड,board,board,Translation
2122,सुफुर,chalk,chalk,Translation
2123,मेसनाय,eraser,eraser,Translation
2124,खुनदै,ruler,scale,Translation
2125,पुस्तकालय,library,library,Translation
2126,लैब,lab,lab,Translation
2127,विषय,subject,zirthing,Translation
2128,गणित,math,mathematics,Translation
2129,विज्ञान,science,science,Translation
2130,इतिहास,history,history,Translation
2131,भूगोल,geography,geography,Translation
2132,भाषा,language,language,Translation
2133,कला,arts,arts,Translation
2134,खेल,sport,sport,Translation
2135,संगीत,music,music,Translation
2136,कंप्यूटर,computer,computer,Translation
2137,अंग्रेजी,english,english,Translation
2138,बोडो,bodo,bodo,Translation
2139,मिजो,mizo,mizo,Translation
2140,मातृभाषा,mother tongue,mother language,Translation
2141,क्षेत्रीय भाषा,regional language,region language,Translation
2142,होमवर्क,homework,hriselna thawn,Translation
2143,परीखा,exam,inkhawm thleng,Translation
2144,परीखा,test,test,Translation
2145,सवाल,question,zawhna,Translation
2146,अभ्यास,practice,practice,Translation
2147,उदाहरण,example,example,Translation
2148,व्यायाम,exercise,thawk,Translation
2149,परियोजना,project,project,Translation
2150,समूह,group,group,Translation
2151,जोड़ी,pair,paihra,Translation
2152,प्रस्तुति,presentation,presentation,Translation
2153,कार्य,assignment,thawk,Translation
2154,रिपोर्ट,report,report,Translation
2155,प्रश्नोत्तरी,quiz,quiz,Translation
2156,पुनरावृत्ति,revision,review,Translation
2157,सारांश,summary,summary,Translation
2158,नोट्स,notes,notes,Translation
2159,शब्दकोश,dictionary,dictionary,Translation
2160,पर्यायवाची,thesaurus,thesaurus,Translation
2161,उदाहरण वाक्य,example sentence,sentence example,Translation
2162,अभ्यास प्रश्न,practice question,practice zawhna,Translation
2163,पाठ,lesson,lesson,Translation
2164,कक्षा,class,class,Translation
2165,घंटा,period,darkar,Translation
2166,विश्राम,break,rest,Translation
2167,दोपहर का खाना,lunch,tlêm chaw,Translation
2168,सभा,assembly,assembly,Translation
2169,छुट्टी,holiday,ni khum,Translation
2170,अवकाश,vacation,ni an,Translation
2171,अवधि,term,term,Translation
2172,सेमेस्टर,semester,semester,Translation
2173,वार्षिक,yearly,kum,Translation
2174,मासिक,monthly,thla,Translation
2175,साप्ताहिक,weekly,kar,Translation
2176,दैनिक,daily,ni,Translation
2177,समय,time,hun,Translation
2178,आज,today,tun ni,Translation
2179,कल,tomorrow,tukleha,Translation
2180,कल,yesterday,zanin,Translation
2181,अभी,now,nisa,Translation
2182,बाद में,later,hnua la,Translation
2183,जल्द,soon,tui zet,Translation
2184,हमेशा,always,zawng zawng,Translation
2185,कभी नहीं,never,aih lo,Translation
2186,कभी-कभी,sometimes,diw diw,Translation
2187,अक्सर,often,nasa nasa,Translation
2188,कम,rarely,hlem,Translation
2189,आमतौर पर,usually,nasa zawk,Translation
2190,फिर,again,thawh,Translation
2191,सुबह,morning,zing,Translation
2192,दोपहर,afternoon,tlêm,Translation
2193,शाम,evening,zan tlêm,Translation
2194,रात,night,zan,Translation
2195,दिन,day,ni,Translation
2196,सप्ताह,week,kar,Translation
2197,महीना,month,thla,Translation
2198,साल,year,kum,Translation
2199,घंटा,hour,darkar,Translation
2200,मिनट,minute,minute,Translation
2201,समय सारणी,timetable,hun siam,Translation
2202,समय सीमा,deadline,hun khat,Translation
2203,देय,due,hun lo,Translation
2204,देर,late,tling,Translation
2205,तुरंत,immediate,nisa,Translation
2206,उपस्थिति,attendance,lo,Translation
2207,मौजूद,present,lo,Translation
2208,अनुपस्थित,absent,aih lo,Translation
2209,अनुमति,permission,duh,Translation
2210,लोग,people,mi,Translation
2211,माता,mother,nu,Translation
2212,पिता,father,pa,Translation
2213,भाई,brother,naupa,Translation
2214,बहन,sister,thlai,Translation
2215,पुत्र,son,fapa,Translation
2216,पुत्री,daughter,fate,Translation
2217,दादा,grandfather,tetu,Translation
2218,दादी,grandmother,pui,Translation
2219,चाचा,uncle,nau pa,Translation
2220,चाची,aunt,nau nu,Translation
2221,पति,husband,pa,Translation
2222,पत्नी,wife,nu,Translation
2223,बच्चा,child,naupang,Translation
2224,शिशु,baby,naupang te,Translation
2225,परिवार,family,pui,Translation
2226,घर,home,in,Translation
2227,गांव,village,zaitu,Translation
2228,कस्बा,town,town,Translation
2229,शहर,city,khawpui,Translation
2230,राज्य,state,hmun,Translation
2231,देश,country,ram,Translation
2232,राजधानी,capital,khawpui ber,Translation
2233,सड़क,street,lam,Translation
2234,रास्ता,road,kawng,Translation
2235,पता,address,hmun,Translation
2236,फोन,phone,phone,Translation
2237,ईमेल,email,email,Translation
2238,अभिभावक,guardian,enkawl,Translation
2239,नाम,name,hming,Translation
2240,आयु,age,ni zat,Translation
2241,लिंग,gender,pa nu,Translation
2242,रोल नंबर,roll number,phal zat,Translation
2243,पहचान पत्र,ID card,ID card,Translation
2244,स्थान,place,hmun,Translation
2245,बैंक,bank,bank,Translation
2246,डाकघर,post office,post office,Translation
2247,अस्पताल,hospital,hospital,Translation
2248,क्लिनिक,clinic,clinic,Translation
2249,दवाखाना,pharmacy,pharmacy,Translation
2250,पुलिस स्टेशन,police station,police station,Translation
2251,अग्निशमन स्टेशन,fire station,fire station,Translation
2252,बस स्टॉप,bus stop,bus stop,Translation
2253,रेलवे स्टेशन,train station,train station,Translation
2254,हवाई अड्डा,airport,airport,Translation
2255,स्टेशन,station,station,Translation
2256,बाजार,market,market,Translation
2257,दुकान,shop,shop,Translation
2258,वाहन,vehicle,motor,Translation
2259,कार,car,motor,Translation
2260,बस,bus,bus,Translation
2261,ट्रेन,train,train,Translation
2262,साइकिल,bicycle,baisakul,Translation
2263,मोटरबाइक,motorbike,motorbike,Translation
2264,ट्रक,truck,truck,Translation
2265,टैक्सी,taxi,taxi,Translation
2266,नाव,boat,lawng,Translation
2267,जहाज,ship,ship,Translation
2268,हवाई जहाज,plane,plane,Translation
2269,टिकट,ticket,ticket,Translation
2270,किराया,fare,thlan,Translation
2271,यात्रा,trip,trip,Translation
2272,यात्रा,journey,journey,Translation
2273,खाना,food,chaw,Translation
2274,चावल,rice,buh,Translation
2275,ब्रेड,bread,puawn,Translation
2276,पानी,water,tui,Translation
2277,दूध,milk,tui tul,Translation
2278,चाय,tea,ti,Translation
2279,कॉफी,coffee,coffee,Translation
2280,जूस,juice,juice,Translation
2281,अंडा,egg,arhte,Translation
2282,मांस,meat,sa,Translation
2283,मछली,fish,sangha,Translation
2284,चिकन,chicken,ar,Translation
2285,फल,fruit,thei,Translation
2286,सब्जी,vegetable,thing hring,Translation
2287,नमक,salt,chi,Translation
2288,शक्कर,sugar,chhe,Translation
2289,मसाला,spice,ka,Translation
2290,तेल,oil,thau,Translation
2291,माखन,butter,sak puan,Translation
2292,शहद,honey,khuai,Translation
2293,नाश्ता,breakfast,zing chaw,Translation
2294,रात का खाना,dinner,zan chaw,Translation
2295,नाश्ता,snack,chaw te,Translation
2296,मेनू,menu,menu,Translation
2297,कीमत,price,thlan,Translation
2298,शाकाहारी,vegetarian,thing hring ei,Translation
2299,पैसा,money,sum,Translation
2300,ग्राहक,customer,customer,Translation
2301,रसीद,receipt,receipt,Translation
2302,बिल,bill,bill,Translation
2303,बटुआ,wallet,wallet,Translation
2304,कपड़े,clothes,thawhtute,Translation
2305,शर्ट,shirt,shirt,Translation
2306,पैंट,pants,pants,Translation
2307,स्कर्ट,skirt,skirt,Translation
2308,ड्रेस,dress,dress,Translation
2309,जूता,shoe,kengkawng,Translation
2310,मोजे,socks,socks,Translation
2311,टोपी,hat,lukawng,Translation
2312,कैप,cap,cap,Translation
2313,बैग,bag,khaw,Translation
2314,बोतल,bottle,bottle,Translation
2315,गिलास,glass,glass,Translation
2316,प्लेट,plate,bel,Translation
2317,चम्मच,spoon,theikhia,Translation
2318,कांटा,fork,fork,Translation
2319,चाकू,knife,hrai,Translation
2320,कप,cup,khawm,Translation
2321,वाक्य,sentence,sawipui,Translation
2322,अनुच्छेद,paragraph,chhiarphung,Translation
2323,शब्द,word,thilpek,Translation
2324,मुहावरा,phrase,phrase,Translation
2325,शब्दावली,vocabulary,vocabulary,Translation
2326,व्याकरण,grammar,grammar,Translation
2327,क्रिया,verb,verb,Translation
2328,संज्ञा,noun,noun,Translation
2329,विशेषण,adjective,adjective,Translation
2330,क्रियाविशेषण,adverb,adverb,Translation
2331,सर्वनाम,pronoun,pronoun,Translation
2332,पूर्वसर्ग,preposition,preposition,Translation
2333,संयोजक,conjunction,conjunction,Translation
2334,लेख,article,article,Translation
2335,विराम चिह्न,punctuation,punctuation,Translation
2336,बड़ा अक्षर,capital letter,capital letter,Translation
2337,छोटा अक्षर,lowercase,lowercase,Translation
2338,वर्णमाला,alphabet,alphabet,Translation
2339,अक्षर,letter,letter,Translation
2340,अर्थ,meaning,awmzia,Translation
2341,परिभाषा,definition,definition,Translation
2342,वर्तनी,spelling,spelling,Translation
2343,उच्चारण,pronunciation,pronunciation,Translation
2344,समानार्थी,synonym,same word,Translation
2345,विलोम,antonym,opposite,Translation
2346,अनुवाद करो,translate to,translate la,Translation
2347,से अनुवाद,translate from,atanga translate,Translation
2348,अनुवाद,translation,translate,Translation
2349,धीरे बोलो,speak slowly,zawi deuh in sawi,Translation
2350,स्पष्ट बोलो,speak clearly,sawi dik,Translation
2351,मेरे बाद दोहराओ,repeat after me,ka hnua nawn rawh,Translation
2352,सुनो और दोहराओ,listen and repeat,ngai le nawn rawh,Translation
2353,जोर से जवाब दो,answer loudly,ko leng chhan pe,Translation
2354,साफ लिखो,write neatly,ziak thianghlim,Translation
2355,स्पष्ट लिखो,write clearly,ziak dik,Translation
2356,लेबल,label,label,Translation
2357,आरेख,diagram,diagram,Translation
2358,विपरीत करो,contrast,se cia siam rawh,Translation
2359,विश्लेषण करो,analyse,zir thang rawh,Translation
2360,सारांश दो,summarize,summary siam rawh,Translation
2361,भविष्यवाणी करो,predict,hmachuah siam rawh,Translation
2362,परिकल्पना,hypothesis,hypothesis,Translation
2363,प्रयोग,experiment,experiment,Translation
2364,देखो,observe,en rawh,Translation
2365,मापो,measure,teh rawh,Translation
2366,दर्ज करो,record,ziak rawh,Translation
2367,आंकड़े,data,data,Translation
2368,ग्राफ,graph,graph,Translation
2369,तालिका,table,table,Translation
2370,चार्ट,chart,chart,Translation
2371,नक्शा,map,map,Translation
2372,मॉडल,model,model,Translation
2373,सामग्री,material,material,Translation
2374,उपकरण,tool,tool,Translation
2375,उपकरण,equipment,equipment,Translation
2376,सुरक्षा,safety,safety,Translation
2377,नियम,rule,rule,Translation
2378,निर्देश,instruction,instruction,Translation
2379,दिशा,direction,kawng,Translation
2380,प्रक्रिया,procedure,procedure,Translation
2381,विधि,method,method,Translation
2382,परिणाम,result,result,Translation
2383,निष्कर्ष,conclusion,conclusion,Translation
2384,चर्चा,discussion,discussion,Translation
2385,प्रस्तुति कौशल,presentation skills,presentation skills,Translation
2386,आत्मविश्वास,confidence,confidence,Translation
2387,भागीदारी,participation,participation,Translation
2388,व्यवहार,behaviour,behaviour,Translation
2389,अनुशासन,discipline,discipline,Translation
2390,सम्मान,respect,respect,Translation
2391,अंकन,marking,marking,Translation
2392,प्रतिक्रिया,feedback,feedback,Translation
2393,टिप्पणी,comment,comment,Translation
2394,अनुमति मांगो,ask permission,duh zawt rawh,Translation
2395,हाथ उठाओ,raise hand,kut kalh rawh,Translation
2396,बारी लो,take turns,hun hun ka thi rawh,Translation
2397,धोखा,cheat,cheat,Translation
2398,सहयोग,collaborate,collaborate,Translation
2399,तकनीक,technology,technology,Translation
2400,वेबसाइट,website,website,Translation
2401,इंटरनेट,internet,internet,Translation
2402,ऑफलाइन,offline,offline,Translation
2403,ऑनलाइन,online,online,Translation
2404,संदेश,message,message,Translation
2405,चैट,chat,chat,Translation
2406,वीडियो कॉल,video call,video call,Translation
2407,कैमरा,camera,camera,Translation
2408,माइक्रोफोन,microphone,microphone,Translation
2409,स्पीकर,speaker,speaker,Translation
2410,स्क्रीन,screen,screen,Translation
2411,कीबोर्ड,keyboard,keyboard,Translation
2412,माउस,mouse,mouse,Translation
2413,प्रिंटर,printer,printer,Translation
2414,स्कैनर,scanner,scanner,Translation
2415,यूएसबी,USB,USB,Translation
2416,फाइल,file,file,Translation
2417,फोल्डर,folder,folder,Translation
2418,दस्तावेज़,document,document,Translation
2419,फाइल खोलो,open file,file hawng rawh,Translation
2420,पासवर्ड,password,password,Translation
2421,उपयोगकर्ता नाम,username,username,Translation
2422,सेटिंग्स,settings,settings,Translation
2423,ऐप,app,app,Translation
